gene_symbol,Maco1
analysis_id,42wh79r68k819rh
parameter_name,Basophil cell count
pvalue,0.8114349
gene_accession_id,MGI:1913396
parameter_id,IMPC_HEM_037_001
mouse_life_stage,Early adult
mouse_strain,C57BL
