analysis_id,28t8508ty2g0x21
parameter_id,ESLIM_007_001_009
mouse_strain,C57BL
gene_symbol,Tox
mouse_life_stage,Early adult
gene_accession_id,MGI:2181659
pvalue,0.3839341
parameter_name,Periphery average speed
