analysis_id,yj9pt5tb883a4gn
pvalue,0.1664973
mouse_strain,C57BL
parameter_name,QT
mouse_life_stage,Early adult
gene_symbol,Duoxa2
parameter_id,IMPC_ECG_028_001
gene_accession_id,MGI:1914061
