mouse_strain,129SV
gene_accession_id,MGI:1925427
parameter_id,M-G-P_016_001_006
gene_symbol,Ninl
mouse_life_stage,Early adult
analysis_id,n162hp25o04mgif
parameter_name,Mean-corpuscular-haemoglobin
pvalue,0.1818236
