parameter_id,JAXLA_CSD_023_001
pvalue,0.518094
gene_accession_id,MGI:2448481
parameter_name,Vibrissae - presence
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Mgst2
analysis_id,u5ptg7g9k3l68lx
