parameter_name,Mean-cell-volume
gene_accession_id,MGI:2446186
gene_symbol,Lpgat1
parameter_id,M-G-P_016_001_005
analysis_id,l6hu68s0b1i867i
mouse_strain,C57BL
mouse_life_stage,Late adult
pvalue,0.8623153
