parameter_name,Heart weight
analysis_id,64aq80827x8l18i
pvalue,0.6634928
parameter_id,IMPC_HWT_008_001
gene_accession_id,MGI:1341628
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Atrn
