gene_symbol,Rgs20
parameter_id,IMPC_CSD_029_001
mouse_strain,C57BL
analysis_id,nisvt51g330o4gw
mouse_life_stage,Early adult
pvalue,0.7571226
gene_accession_id,MGI:1929866
parameter_name,Activity (body position)
