analysis_id,9dnsyu1pk4g7b6e
parameter_name,Resting CD4+ T helper cells - % of CD45+
mouse_life_stage,Early adult
pvalue,0.2837461
mouse_strain,C57BL
gene_accession_id,MGI:1923029
gene_symbol,Dnaaf9
parameter_id,MGP_MLN_067_001
