analysis_id,rb58b8k4a2kgep6
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
gene_symbol,Kifap3
gene_accession_id,MGI:107566
pvalue,0.134186
parameter_id,MGP_IMM_007_001
mouse_life_stage,Early adult
mouse_strain,C57BL
