parameter_name,Lean mass
parameter_id,IMPC_DXA_003_001
pvalue,0.1424791
analysis_id,4wh26c012a83997
mouse_strain,C57BL
gene_symbol,Tnfsf10
gene_accession_id,MGI:107414
mouse_life_stage,Early adult
