parameter_id,JAXLA_CSD_022_001
mouse_strain,C57BL
parameter_name,Hindlimbs - size
analysis_id,7s9yi9483f22x8z
pvalue,0.5162079
mouse_life_stage,Early adult
gene_symbol,Pld1
gene_accession_id,MGI:109585
