analysis_id,50i9vimw6h16y6d
parameter_name,Sacral processes
mouse_strain,C57BL
gene_symbol,Usp37
parameter_id,IMPC_XRY_066_001
gene_accession_id,MGI:2442483
mouse_life_stage,Early adult
pvalue,0.2503736
