parameter_name,Eosinophils
analysis_id,w89k94012ku1212
parameter_id,IMPC_IMM_052_001
pvalue,0.2766331
mouse_life_stage,Early adult
gene_accession_id,MGI:104848
mouse_strain,129SV
gene_symbol,Inpp1
