analysis_id,6563404i611v606
parameter_id,MGP_MLN_013_001
mouse_strain,C57BL
pvalue,0.5839681
parameter_name,Effector CD8+ T cells - % of CD8+
gene_symbol,Ints7
gene_accession_id,MGI:1924315
mouse_life_stage,Early adult
