gene_symbol,Steap3
mouse_strain,C57BL
analysis_id,c4400bq79d817n8
gene_accession_id,MGI:1915678
mouse_life_stage,Early adult
pvalue,0.5086096
parameter_name,Snout size
parameter_id,MGP_CSD_067_001
