gene_symbol,Ssr2
parameter_name,Body weight
gene_accession_id,MGI:1913506
parameter_id,M-G-P_009_001_003
analysis_id,1356r859gbj3a37
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.9593485
