Analysis_id,m8d1r9e4971nf0n
Mouse_life_stage,Early adult
Parameter_id,IMPC_GEL_011_001
parameter_name,Embryo turning
Pvalue,0.3436197
Gene_accession_id,MGI:2446274
Mouse_strain,C57BL
Gene_symbol,Frmpd1
