parameter_id,ICS_FEA_019_001
pvalue,0.2402355
Gene_symbol,Mov10
gene_accession_id,MGI:97054
Mouse_strain,C57BL
analysis_id,y83uq829062ggdw
mouse_life_stage,Early adult
parameter_name,% Freezing duration pre-cue-2
