analysis_id,vk88k074f7xj9t7
mouse_life_stage,Early adult
pvalue,0.29955
gene_symbol,Rhbg
mouse_strain,C57BL
gene_accession_id,MGI:1927379
parameter_id,IMPC_CBC_018_001
parameter_name,Glucose
