analysis_id,z2kfbi417965g8l
pvalue,0.1793547
parameter_name,Narrow eye opening
gene_symbol,Bmp7
mouse_strain,C57BL
parameter_id,IMPC_EYE_006_001
mouse_life_stage,Early adult
gene_accession_id,MGI:103302
