analysis_id,m8280g84zm51wy8
parameter_name,Pale yolk sac
mouse_strain,C57BL
mouse_life_stage,E12.5
gene_accession_id,MGI:88174
gene_symbol,Bmi1
pvalue,0.9370295
parameter_id,IMPC_GEL_017_002
