gene_symbol,Rufy4
analysis_id,01018w1ec48w4aa
gene_accession_id,MGI:3588214
mouse_life_stage,Early adult
pvalue,0.3323981
mouse_strain,C57BL
parameter_name,Tremor
parameter_id,TCPLA_CSD_030_001
