parameter_name,Total cholesterol
gene_accession_id,MGI:1338032
gene_symbol,Sema6c
pvalue,0.2081682
mouse_life_stage,Early adult
analysis_id,fany593e6vwisel
parameter_id,JAXLA_CBC_015_001
mouse_strain,C57BL
