parameter_name,Caudal processes
parameter_id,IMPC_XRY_067_001
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.3213769
gene_symbol,Frmpd1
analysis_id,l645zszg00jefzk
gene_accession_id,MGI:2446274
