analysis_id,1s7590457z9z1rj
mouse_strain,C57BL
gene_accession_id,MGI:1923959
parameter_name,Heart looping
gene_symbol,Arpc2
mouse_life_stage,Early adult
pvalue,0.98728
parameter_id,IMPC_GEL_057_001
