analysis_id,e6050y3za0rl8k1
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.9523431
parameter_name,B Cells
parameter_id,IMPC_IMM_063_001
gene_symbol,Col6a3
gene_accession_id,MGI:88461
