gene_symbol,Mapkap1
gene_accession_id,MGI:2444554
analysis_id,011foc14052vc08
pvalue,0.9939226
parameter_id,MGP_BMI_014_001
mouse_life_stage,E15.5
parameter_name,Mature B cells (Hardy fraction F) - % of CD45+
mouse_strain,C57BL
