parameter_name,Eosinophils
mouse_strain,C57BL
parameter_id,IMPC_IMM_052_001
gene_symbol,Slc39a10
mouse_life_stage,E9.5
gene_accession_id,MGI:1914515
analysis_id,w9737841ix7799p
pvalue,0.9260516
