gene_symbol,Sprr1b
mouse_strain,C57BL
analysis_id,7end2a613d370g2
mouse_life_stage,Early adult
pvalue,0.385404
parameter_id,JAX_LDT_003_001
parameter_name,Time mobile light side
gene_accession_id,MGI:106659
