analysis_id,22xr20g6j5dwy3f
gene_symbol,Cds2
mouse_life_stage,Early adult
parameter_id,IMPC_ECG_008_001
parameter_name,ST
pvalue,0.8008461
gene_accession_id,MGI:1332236
mouse_strain,129SV
