analysis_id,9sglix1u1wqm18r
parameter_id,IMPC_GEP_076_001
pvalue,0.1733364
gene_symbol,Lamb3
gene_accession_id,MGI:99915
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Cleft palate
