analysis_id,aheli85w91h3906
mouse_life_stage,Early adult
parameter_name,Center average speed
pvalue,0.8759148
mouse_strain,C57BL
gene_accession_id,MGI:3588214
parameter_id,JAX_OFD_017_001
gene_symbol,Rufy4
