parameter_name,Total T cell percentage
mouse_strain,C57BL
gene_symbol,Ap5s1
gene_accession_id,MGI:1916846
pvalue,0.1066387
mouse_life_stage,Early adult
parameter_id,MGP_PBI_001_001
analysis_id,2rq557jqh1g8hdj
