analysis_id,c0e05427c8gn460
mouse_strain,C57BL
gene_accession_id,MGI:2685277
gene_symbol,Zyg11b
parameter_id,IMPC_OFD_018_001
mouse_life_stage,E18.5
pvalue,0.4369698
parameter_name,Latency to center entry
