gene_symbol,Lpgat1
parameter_id,IMPC_CSD_008_001
gene_accession_id,MGI:2446186
parameter_name,Coat - color pattern - back
mouse_strain,C57BL
pvalue,0.3071803
analysis_id,9ojf151vih7matc
mouse_life_stage,Early adult
