analysis_id,28g8n05b7l2i75u
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Ivd
pvalue,0.5936681
gene_accession_id,MGI:1929242
parameter_name,NK Subsets (Q2)
parameter_id,IMPC_IMM_055_001
