gene_symbol,Tox
gene_accession_id,MGI:2181659
parameter_id,MGP_PBI_009_001
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,CD4+ CD44+ CD62L- alpha beta effector T cell percentage
pvalue,0.437736
analysis_id,96n38i9a21wsx78
