analysis_id,60832655ox9xcw1
mouse_strain,C57BL
gene_symbol,Eprs1
pvalue,0.9477975
mouse_life_stage,Early adult
parameter_name,Coat - color - abdomen
parameter_id,IMPC_CSD_007_001
gene_accession_id,MGI:97838
