gene_symbol,Pglyrp3
mouse_life_stage,Early adult
pvalue,0.8152501
parameter_id,IMPC_HEM_003_001
parameter_name,Hemoglobin
gene_accession_id,MGI:2685266
mouse_strain,C57BL
analysis_id,r29y35sjlv0eef3
