parameter_name,Periphery average speed
mouse_strain,C57BL
pvalue,0.2693212
analysis_id,7a10wtkd35u57vb
gene_accession_id,MGI:109585
mouse_life_stage,Early adult
gene_symbol,Pld1
parameter_id,JAX_OFD_013_001
