analysis_id,nn53w00uut0revx
mouse_strain,C57BL
parameter_id,IMPC_EYE_024_001
pvalue,0.061595
gene_symbol,Atg4c
mouse_life_stage,Early adult
gene_accession_id,MGI:2651854
parameter_name,Retinal Blood Vessels
