gene_symbol,Tnfsf10
parameter_name,Bone Area
mouse_life_stage,Early adult
analysis_id,5214k060p3ti735
pvalue,0.08399951
parameter_id,IMPC_DXA_010_001
mouse_strain,C57BL
gene_accession_id,MGI:107414
