parameter_id,IMPC_HEM_037_001
pvalue,0.2939809
analysis_id,qa198f41yb8tbi5
parameter_name,Basophil cell count
mouse_strain,C57BL
gene_symbol,Hspa5
gene_accession_id,MGI:95835
mouse_life_stage,E9.5
