gene_symbol,Nr0b2
gene_accession_id,MGI:1346344
analysis_id,s921ez03s7n7gc2
parameter_id,ESLIM_016_001_003
mouse_strain,B6J
parameter_name,Haemoglobin
pvalue,0.8630122
mouse_life_stage,Early adult
