parameter_name,CV
gene_accession_id,MGI:1920026
gene_symbol,Sass6
analysis_id,e0l69ylo2iccnn7
mouse_strain,C51BL
mouse_life_stage,E12.5
parameter_id,IMPC_ECG_003_001
pvalue,0.9164079
