analysis_id,4y8h0ljb9jy8736
mouse_strain,C57BL
pvalue,0.2091035
gene_accession_id,MGI:1915325
parameter_id,MGP_CSD_066_001
mouse_life_stage,Early adult
parameter_name,Snout morphology
gene_symbol,Lurap1
