parameter_name,Total T cell percentage
gene_accession_id,MGI:109585
parameter_id,MGP_PBI_001_001
analysis_id,28958vt8789p290
mouse_life_stage,Early adult
gene_symbol,Pld1
pvalue,0.5648848
mouse_strain,C57BL
