parameter_id,HRWLLA_OFD_010_001
pvalue,0.7351304
gene_symbol,Usp37
gene_accession_id,MGI:2442483
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Periphery distance travelled
analysis_id,8969da72248n9e7
