gene_symbol,Pex19
parameter_name,Startle response
parameter_id,MGP_CSD_008_001
gene_accession_id,MGI:1334458
pvalue,0.4390522
analysis_id,2u2qks8gyd17ce0
mouse_life_stage,E18.5
mouse_strain,C57BL
