parameter_name,Ulna
gene_symbol,Tbl1xr1
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_023_001
gene_accession_id,MGI:2441730
analysis_id,71ktjo0n442m2e7
pvalue,0.4612011
mouse_strain,C57BL
