gene_symbol,Prkcq
parameter_name,Center average speed
mouse_strain,C57BL
gene_accession_id,MGI:97601
parameter_id,IMPC_OFD_017_001
mouse_life_stage,Early adult
pvalue,0.7441866
analysis_id,v3998lgbxt1rw4h
