gene_symbol,Gja10
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_047_001
mouse_strain,C57BL
analysis_id,j697g342q0nvkv4
parameter_name,DN CD44+CD62L+ NKT cells
pvalue,0.4600042
gene_accession_id,MGI:1339969
