gene_symbol,Ints7
parameter_name,CD103+ CD11b-low cDC - % of CD45+
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,qdr05a7lyeb6vy5
gene_accession_id,MGI:1924315
pvalue,0.2796761
parameter_id,MGP_IMM_131_001
