analysis_id,05g38814455t81i
gene_accession_id,MGI:1309468
mouse_life_stage,Early adult
parameter_name,Thyroxine
pvalue,0.3794306
parameter_id,IMPC_CBC_053_001
gene_symbol,Casq1
mouse_strain,C57BL
