analysis_id,30n9w2423tyg0pt
parameter_name,Limb coat/hair presence
mouse_strain,C57BL
gene_symbol,Bmi1
gene_accession_id,MGI:88174
pvalue,0.6133633
mouse_life_stage,E12.5
parameter_id,MGP_CSD_030_001
