analysis_id,9806ybg3ar6a15m
parameter_id,MGP_BMI_006_001
mouse_life_stage,Early adult
pvalue,0.4594966
gene_accession_id,MGI:894679
mouse_strain,C57BL
parameter_name,Immature B cells (Hardy fraction E) - % of B220+
gene_symbol,Bach2
