analysis_id,w0x03880ap9zbpz
mouse_life_stage,Middle aged adult
parameter_name,Neutrophil differential count
gene_symbol,Lpgat1
parameter_id,IMPC_HEM_029_001
gene_accession_id,MGI:2446186
pvalue,0.5372541
mouse_strain,C56BL
