analysis_id,8lxkuy5bk1sg2l8
mouse_strain,C57BL
gene_symbol,Fgb
gene_accession_id,MGI:99501
mouse_life_stage,E15.5
parameter_name,Effector gd T cells - % of gd T cells
pvalue,0.6296982
parameter_id,MGP_IMM_020_001
