gene_symbol,Fam163a
mouse_strain,C57BL
parameter_name,NK Subsets (Q2)
parameter_id,IMPC_IMM_055_001
pvalue,0.2361017
analysis_id,e7mm244v849u136
gene_accession_id,MGI:3618859
mouse_life_stage,Early adult
