parameter_id,JAX_ROT_002_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1309468
analysis_id,5hkx74y5w07uh24
pvalue,0.6490445
gene_symbol,Casq1
parameter_name,Average duration
mouse_strain,C57BL
