parameter_name,Fat/Body weight
pvalue,0.7305194
mouse_strain,C57BL
analysis_id,fg166u902hqv86b
mouse_life_stage,Middle aged adult
gene_symbol,Snap23
gene_accession_id,MGI:109356
parameter_id,JAXLA_DXA_009_001
