analysis_id,2c1o10xod86977n
parameter_name,Humerus
gene_accession_id,MGI:104805
gene_symbol,Snrpb2
parameter_id,IMPC_XRY_021_001
pvalue,0.9703524
mouse_life_stage,Early adult
mouse_strain,C57BL
