parameter_name,Percent time in light
gene_accession_id,MGI:3026886
analysis_id,bp2tr66svx5lo5m
mouse_strain,C57BL
pvalue,0.8629233
parameter_id,JAX_LDT_009_001
gene_symbol,Cdin1
mouse_life_stage,Early adult
